Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;0103;Kampen skole;FRP;Fremskrittspartiet;7,07177;3759;1917;135
03;Oslo;0301;Oslo;0103;Kampen skole;ALLI;Alliansen;0,0;3759;1917;0
03;Oslo;0301;Oslo;0103;Kampen skole;DEMN;Demokratene i Norge;0,0;3759;1917;0
03;Oslo;0301;Oslo;0103;Kampen skole;HELSE;Helsepartiet;0,36668;3759;1917;7
03;Oslo;0301;Oslo;0103;Kampen skole;KRISTNE;Partiet De Kristne;0,0;3759;1917;0
03;Oslo;0301;Oslo;0103;Kampen skole;LIBS;Liberalistene;0,0;3759;1917;0
03;Oslo;0301;Oslo;0103;Kampen skole;NKP;Norges Kommunistiske Parti;0,0;3759;1917;0
03;Oslo;0301;Oslo;0103;Kampen skole;PIR;Piratpartiet;0,15715;3759;1917;3
03;Oslo;0301;Oslo;0103;Kampen skole;PP;Pensjonistpartiet;0,3143;3759;1917;6
03;Oslo;0301;Oslo;0103;Kampen skole;SAMFS;Samfunnspartiet;0,10477;3759;1917;2
03;Oslo;0301;Oslo;0103;Kampen skole;BLANKE;Blanke;0,41907;3759;1917;8
03;Oslo;0301;Oslo;0103;Kampen skole;FI;Feministisk Initiativ;0,05238;3759;1917;1
03;Oslo;0301;Oslo;0103;Kampen skole;Andre;Andre;0,99529;3759;1917;19
03;Oslo;0301;Oslo;0103;Kampen skole;Andre2;Andre2;0,0;3759;1917;0
03;Oslo;0301;Oslo;0104;Gamlebyen skole;A;Arbeiderpartiet;22,24094;8180;2399;528
03;Oslo;0301;Oslo;0104;Gamlebyen skole;SV;Sosialistisk Venstreparti;13,39511;8180;2399;318
03;Oslo;0301;Oslo;0104;Gamlebyen skole;RØDT;Rødt;13,43724;8180;2399;319
03;Oslo;0301;Oslo;0104;Gamlebyen skole;SP;Senterpartiet;1,85341;8180;2399;44
03;Oslo;0301;Oslo;0104;Gamlebyen skole;KRF;Kristelig Folkeparti;1,30581;8180;2399;31
03;Oslo;0301;Oslo;0104;Gamlebyen skole;MDG;Miljøpartiet De Grønne;10,02527;8180;2399;238
03;Oslo;0301;Oslo;0104;Gamlebyen skole;V;Venstre;10,40438;8180;2399;247
03;Oslo;0301;Oslo;0104;Gamlebyen skole;H;Høyre;18,95535;8180;2399;450
03;Oslo;0301;Oslo;0104;Gamlebyen skole;FRP;Fremskrittspartiet;7,07666;8180;2399;168
03;Oslo;0301;Oslo;0104;Gamlebyen skole;ALLI;Alliansen;0,08425;8180;2399;2
03;Oslo;0301;Oslo;0104;Gamlebyen skole;DEMN;Demokratene i Norge;0,04212;8180;2399;1
03;Oslo;0301;Oslo;0104;Gamlebyen skole;HELSE;Helsepartiet;0,04212;8180;2399;1
03;Oslo;0301;Oslo;0104;Gamlebyen skole;KRISTNE;Partiet De Kristne;0,08425;8180;2399;2
03;Oslo;0301;Oslo;0104;Gamlebyen skole;LIBS;Liberalistene;0,33698;8180;2399;8
03;Oslo;0301;Oslo;0104;Gamlebyen skole;NKP;Norges Kommunistiske Parti;0,0;8180;2399;0
03;Oslo;0301;Oslo;0104;Gamlebyen skole;PIR;Piratpartiet;0,46335;8180;2399;11
