Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;0101;Vahl skole;A;Arbeiderpartiet;27,23475;5185;1204;326
03;Oslo;0301;Oslo;0101;Vahl skole;SV;SV - Sosialistisk Venstreparti;22,38931;5185;1204;268
03;Oslo;0301;Oslo;0101;Vahl skole;RØDT;Rødt;17,71094;5185;1204;212
03;Oslo;0301;Oslo;0101;Vahl skole;SP;Senterpartiet;2,1721;5185;1204;26
03;Oslo;0301;Oslo;0101;Vahl skole;KRF;Kristelig Folkeparti;1,5873;5185;1204;19
03;Oslo;0301;Oslo;0101;Vahl skole;MDG;Miljøpartiet De Grønne;7,10109;5185;1204;85
03;Oslo;0301;Oslo;0101;Vahl skole;V;Venstre;7,85297;5185;1204;94
03;Oslo;0301;Oslo;0101;Vahl skole;H;Høyre;8,77193;5185;1204;105
03;Oslo;0301;Oslo;0101;Vahl skole;FRP;Fremskrittspartiet;2,58981;5185;1204;31
03;Oslo;0301;Oslo;0101;Vahl skole;AAN;Alliansen - Alternativ for Norge;0,08354;5185;1204;1
03;Oslo;0301;Oslo;0101;Vahl skole;DEMN;Demokratene;0,33417;5185;1204;4
03;Oslo;0301;Oslo;0101;Vahl skole;FNB;Folkeaksjonen Nei til mer bompenger;0,25063;5185;1204;3
03;Oslo;0301;Oslo;0101;Vahl skole;HELSE;Helsepartiet;0,0;5185;1204;0
03;Oslo;0301;Oslo;0101;Vahl skole;INP;Industri- og Næringspartiet;0,08354;5185;1204;1
03;Oslo;0301;Oslo;0101;Vahl skole;KRISTNE;Partiet De Kristne;0,16708;5185;1204;2
03;Oslo;0301;Oslo;0101;Vahl skole;KYST;Kystpartiet;0,0;5185;1204;0
03;Oslo;0301;Oslo;0101;Vahl skole;LIBS;Liberalistene;0,08354;5185;1204;1
03;Oslo;0301;Oslo;0101;Vahl skole;NKP;Norges Kommunistiske Parti;0,08354;5185;1204;1
03;Oslo;0301;Oslo;0101;Vahl skole;PIR;Piratpartiet;0,41771;5185;1204;5
03;Oslo;0301;Oslo;0101;Vahl skole;PP;Pensjonistpartiet;0,33417;5185;1204;4
03;Oslo;0301;Oslo;0101;Vahl skole;PS;Partiet Sentrum;0,5848;5185;1204;7
03;Oslo;0301;Oslo;0101;Vahl skole;BLANKE;Blanke;0,5848;5185;1204;7
03;Oslo;0301;Oslo;0101;Vahl skole;FI;Feministisk Initiativ;0,16708;5185;1204;2
03;Oslo;0301;Oslo;0101;Vahl skole;Andre;Andre;2,58981;5185;1204;31
03;Oslo;0301;Oslo;0101;Vahl skole;Andre2;Andre2;0,0;5185;1204;0
03;Oslo;0301;Oslo;0102;Tøyen skole;A;Arbeiderpartiet;23,61702;5614;1420;333
03;Oslo;0301;Oslo;0102;Tøyen skole;SV;SV - Sosialistisk Venstreparti;26,38298;5614;1420;372
03;Oslo;0301;Oslo;0102;Tøyen skole;RØDT;Rødt;15,39007;5614;1420;217
03;Oslo;0301;Oslo;0102;Tøyen skole;SP;Senterpartiet;1,63121;5614;1420;23
03;Oslo;0301;Oslo;0102;Tøyen skole;KRF;Kristelig Folkeparti;1,06383;5614;1420;15
03;Oslo;0301;Oslo;0102;Tøyen skole;MDG;Miljøpartiet De Grønne;11,20567;5614;1420;158
03;Oslo;0301;Oslo;0102;Tøyen skole;V;Venstre;8,43972;5614;1420;119
03;Oslo;0301;Oslo;0102;Tøyen skole;H;Høyre;8,01418;5614;1420;113
03;Oslo;0301;Oslo;0102;Tøyen skole;FRP;Fremskrittspartiet;2,19858;5614;1420;31
03;Oslo;0301;Oslo;0102;Tøyen skole;AAN;Alliansen - Alternativ for Norge;0,0;5614;1420;0
