Partikode,Side,År,Variabel,enkel,kontrollert,andel_forklart_av_andre
MDG,Venstresida,2023,Innvandrerandel,-0.07422441306699436,0.053783997810567766,1.72
MDG,Venstresida,2025,Innvandrerandel,-0.12126761694839464,-0.056061437696895075,0.54
RØDT,Venstresida,2015,Innvandrerandel,0.052815281129345214,0.0621783107851925,-0.18
RØDT,Venstresida,2019,Innvandrerandel,0.09412773051698804,0.05205930942846102,0.45
RØDT,Venstresida,2021,Innvandrerandel,0.13777929888796908,0.14387875589631433,-0.04
RØDT,Venstresida,2023,Innvandrerandel,0.10761706210626328,0.09204870717775647,0.14
RØDT,Venstresida,2025,Innvandrerandel,0.14885088855553993,0.11987080561218318,0.19
SP,Venstresida,2015,Innvandrerandel,0.009318335480548107,0.005110104244265382,0.45
SP,Venstresida,2019,Innvandrerandel,0.012966285124928598,-0.021955824917715614,2.69
SP,Venstresida,2021,Innvandrerandel,0.06233343168887675,-0.011446579929107083,1.18
SP,Venstresida,2023,Innvandrerandel,0.03151520197898684,0.014928978921870163,0.53
SP,Venstresida,2025,Innvandrerandel,0.008985519198561671,-0.005654495616285181,1.63
SV,Venstresida,2015,Innvandrerandel,0.019572713801019548,0.013605874461209826,0.3
SV,Venstresida,2019,Innvandrerandel,0.02968603512016418,-0.013825638590334026,1.47
SV,Venstresida,2021,Innvandrerandel,0.1470919691152901,0.16247037291777203,-0.1
SV,Venstresida,2023,Innvandrerandel,0.0896750364453556,0.05360002457197586,0.4
SV,Venstresida,2025,Innvandrerandel,0.38038478354443617,0.27240243753797233,0.28
V,Høyresida,2015,Innvandrerandel,-0.13406198843874262,-0.01187346275981014,0.91
V,Høyresida,2019,Innvandrerandel,-0.12531232063937278,0.013405029693684378,1.11
V,Høyresida,2021,Innvandrerandel,-0.2111775265802233,0.03656068954977114,1.17
V,Høyresida,2023,Innvandrerandel,-0.18535112449476865,0.0010573241698359325,1.01
V,Høyresida,2025,Innvandrerandel,-0.17510099890036315,0.01975082510120395,1.11
A,Venstresida,2015,Utdanning,-0.8707427018530178,-0.5459298288769703,0.37
