Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;0101;Vahl skole;A;Arbeiderpartiet;29,08195;4134;1634;472
03;Oslo;0301;Oslo;0101;Vahl skole;SV;SV - Sosialistisk Venstreparti;21,62662;4134;1634;351
03;Oslo;0301;Oslo;0101;Vahl skole;RØDT;Rødt;12,63093;4134;1634;205
03;Oslo;0301;Oslo;0101;Vahl skole;SP;Senterpartiet;0,4313;4134;1634;7
03;Oslo;0301;Oslo;0101;Vahl skole;KRF;Kristelig Folkeparti;0,92421;4134;1634;15
03;Oslo;0301;Oslo;0101;Vahl skole;MDG;Miljøpartiet De Grønne;11,82994;4134;1634;192
03;Oslo;0301;Oslo;0101;Vahl skole;V;Venstre;6,09982;4134;1634;99
03;Oslo;0301;Oslo;0101;Vahl skole;H;Høyre;7,3321;4134;1634;119
03;Oslo;0301;Oslo;0101;Vahl skole;FRP;Fremskrittspartiet;5,6069;4134;1634;91
03;Oslo;0301;Oslo;0101;Vahl skole;DEMN;Norgesdemokratene;0,73937;4134;1634;12
03;Oslo;0301;Oslo;0101;Vahl skole;DNI;Partiet DNI;0,0;4134;1634;0
03;Oslo;0301;Oslo;0101;Vahl skole;ENSOM;Ensomhetspartiet;0,30807;4134;1634;5
03;Oslo;0301;Oslo;0101;Vahl skole;FRED;Fred og Rettferdighet (FOR);0,73937;4134;1634;12
03;Oslo;0301;Oslo;0101;Vahl skole;GENP;Generasjonspartiet;0,61614;4134;1634;10
03;Oslo;0301;Oslo;0101;Vahl skole;HELSE;Velferd og Innovasjonspartiet;0,30807;4134;1634;5
03;Oslo;0301;Oslo;0101;Vahl skole;INP;Industri- og Næringspartiet;0,4313;4134;1634;7
03;Oslo;0301;Oslo;0101;Vahl skole;KRISTNE;Konservativt;0,12323;4134;1634;2
03;Oslo;0301;Oslo;0101;Vahl skole;PP;Pensjonistpartiet;0,18484;4134;1634;3
03;Oslo;0301;Oslo;0101;Vahl skole;PS;Partiet Sentrum;0,61614;4134;1634;10
03;Oslo;0301;Oslo;0101;Vahl skole;RUS;Redd Ullevål sykehus;0,36969;4134;1634;6
03;Oslo;0301;Oslo;0101;Vahl skole;Andre;Andre;4,43623;4134;1634;72
03;Oslo;0301;Oslo;0101;Vahl skole;Andre2;Andre2;0,0;4134;1634;0
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;A;Arbeiderpartiet;24,66755;7055;1513;371
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;SV;SV - Sosialistisk Venstreparti;25,46543;7055;1513;383
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;RØDT;Rødt;11,70213;7055;1513;176
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;SP;Senterpartiet;1,13032;7055;1513;17
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;KRF;Kristelig Folkeparti;1,46277;7055;1513;22
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;MDG;Miljøpartiet De Grønne;15,89096;7055;1513;239
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;V;Venstre;6,25;7055;1513;94
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;H;Høyre;5,31915;7055;1513;80
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;FRP;Fremskrittspartiet;4,9867;7055;1513;75
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;DEMN;Norgesdemokratene;0,26596;7055;1513;4
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;DNI;Partiet DNI;0,06649;7055;1513;1
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;ENSOM;Ensomhetspartiet;0,26596;7055;1513;4
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;FRED;Fred og Rettferdighet (FOR);0,53191;7055;1513;8
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;GENP;Generasjonspartiet;0,46543;7055;1513;7
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;HELSE;Velferd og Innovasjonspartiet;0,19947;7055;1513;3
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;INP;Industri- og Næringspartiet;0,06649;7055;1513;1
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;KRISTNE;Konservativt;0,06649;7055;1513;1
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;PP;Pensjonistpartiet;0,39894;7055;1513;6
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;PS;Partiet Sentrum;0,26596;7055;1513;4
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;RUS;Redd Ullevål sykehus;0,53191;7055;1513;8
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;Andre;Andre;3,125;7055;1513;47
03;Oslo;0301;Oslo;0102;Aktivitetshuset K1;Andre2;Andre2;0,0;7055;1513;0
03;Oslo;0301;Oslo;0103;Kampen skole;A;Arbeiderpartiet;27,21967;8138;2418;653
03;Oslo;0301;Oslo;0103;Kampen skole;SV;SV - Sosialistisk Venstreparti;17,04877;8138;2418;409
03;Oslo;0301;Oslo;0103;Kampen skole;RØDT;Rødt;12,58858;8138;2418;302
03;Oslo;0301;Oslo;0103;Kampen skole;SP;Senterpartiet;0,58358;8138;2418;14
03;Oslo;0301;Oslo;0103;Kampen skole;KRF;Kristelig Folkeparti;1,16715;8138;2418;28
03;Oslo;0301;Oslo;0103;Kampen skole;MDG;Miljøpartiet De Grønne;18,09087;8138;2418;434
03;Oslo;0301;Oslo;0103;Kampen skole;V;Venstre;5,79408;8138;2418;139
03;Oslo;0301;Oslo;0103;Kampen skole;H;Høyre;8,21175;8138;2418;197
03;Oslo;0301;Oslo;0103;Kampen skole;FRP;Fremskrittspartiet;6,41934;8138;2418;154
03;Oslo;0301;Oslo;0103;Kampen skole;DEMN;Norgesdemokratene;0,45852;8138;2418;11
03;Oslo;0301;Oslo;0103;Kampen skole;DNI;Partiet DNI;0,0;8138;2418;0
03;Oslo;0301;Oslo;0103;Kampen skole;ENSOM;Ensomhetspartiet;0,2501;8138;2418;6
03;Oslo;0301;Oslo;0103;Kampen skole;FRED;Fred og Rettferdighet (FOR);0,54189;8138;2418;13
03;Oslo;0301;Oslo;0103;Kampen skole;GENP;Generasjonspartiet;0,41684;8138;2418;10
03;Oslo;0301;Oslo;0103;Kampen skole;HELSE;Velferd og Innovasjonspartiet;0,20842;8138;2418;5
03;Oslo;0301;Oslo;0103;Kampen skole;INP;Industri- og Næringspartiet;0,12505;8138;2418;3
03;Oslo;0301;Oslo;0103;Kampen skole;KRISTNE;Konservativt;0,04168;8138;2418;1
03;Oslo;0301;Oslo;0103;Kampen skole;PP;Pensjonistpartiet;0,29179;8138;2418;7
03;Oslo;0301;Oslo;0103;Kampen skole;PS;Partiet Sentrum;0,2501;8138;2418;6
03;Oslo;0301;Oslo;0103;Kampen skole;RUS;Redd Ullevål sykehus;0,29179;8138;2418;7
03;Oslo;0301;Oslo;0103;Kampen skole;Andre;Andre;2,8762;8138;2418;69
03;Oslo;0301;Oslo;0103;Kampen skole;Andre2;Andre2;0,0;8138;2418;0
03;Oslo;0301;Oslo;0104;Gamlebyen skole;A;Arbeiderpartiet;22,65734;10581;2170;486
03;Oslo;0301;Oslo;0104;Gamlebyen skole;SV;SV - Sosialistisk Venstreparti;14,49883;10581;2170;311
03;Oslo;0301;Oslo;0104;Gamlebyen skole;RØDT;Rødt;12,12121;10581;2170;260
03;Oslo;0301;Oslo;0104;Gamlebyen skole;SP;Senterpartiet;0,74592;10581;2170;16
03;Oslo;0301;Oslo;0104;Gamlebyen skole;KRF;Kristelig Folkeparti;1,1655;10581;2170;25
03;Oslo;0301;Oslo;0104;Gamlebyen skole;MDG;Miljøpartiet De Grønne;14,54545;10581;2170;312
03;Oslo;0301;Oslo;0104;Gamlebyen skole;V;Venstre;8,62471;10581;2170;185
03;Oslo;0301;Oslo;0104;Gamlebyen skole;H;Høyre;12,68065;10581;2170;272
03;Oslo;0301;Oslo;0104;Gamlebyen skole;FRP;Fremskrittspartiet;9,51049;10581;2170;204
03;Oslo;0301;Oslo;0104;Gamlebyen skole;DEMN;Norgesdemokratene;0,60606;10581;2170;13
03;Oslo;0301;Oslo;0104;Gamlebyen skole;DNI;Partiet DNI;0,04662;10581;2170;1
03;Oslo;0301;Oslo;0104;Gamlebyen skole;ENSOM;Ensomhetspartiet;0,04662;10581;2170;1
03;Oslo;0301;Oslo;0104;Gamlebyen skole;FRED;Fred og Rettferdighet (FOR);0,74592;10581;2170;16
03;Oslo;0301;Oslo;0104;Gamlebyen skole;GENP;Generasjonspartiet;0,60606;10581;2170;13
03;Oslo;0301;Oslo;0104;Gamlebyen skole;HELSE;Velferd og Innovasjonspartiet;0,13986;10581;2170;3
03;Oslo;0301;Oslo;0104;Gamlebyen skole;INP;Industri- og Næringspartiet;0,09324;10581;2170;2
03;Oslo;0301;Oslo;0104;Gamlebyen skole;KRISTNE;Konservativt;0,0;10581;2170;0
03;Oslo;0301;Oslo;0104;Gamlebyen skole;PP;Pensjonistpartiet;0,2331;10581;2170;5
03;Oslo;0301;Oslo;0104;Gamlebyen skole;PS;Partiet Sentrum;0,65268;10581;2170;14
03;Oslo;0301;Oslo;0104;Gamlebyen skole;RUS;Redd Ullevål sykehus;0,27972;10581;2170;6
03;Oslo;0301;Oslo;0104;Gamlebyen skole;Andre;Andre;3,44988;10581;2170;74
03;Oslo;0301;Oslo;0104;Gamlebyen skole;Andre2;Andre2;0,0;10581;2170;0
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;A;Arbeiderpartiet;30,22388;7466;1891;567
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;SV;SV - Sosialistisk Venstreparti;13,85928;7466;1891;260
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;RØDT;Rødt;10,92751;7466;1891;205
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;SP;Senterpartiet;1,01279;7466;1891;19
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;KRF;Kristelig Folkeparti;1,38593;7466;1891;26
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;MDG;Miljøpartiet De Grønne;11,9936;7466;1891;225
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;V;Venstre;6,18337;7466;1891;116
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;H;Høyre;10,76759;7466;1891;202
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;FRP;Fremskrittspartiet;9,8081;7466;1891;184
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;DEMN;Norgesdemokratene;0,26652;7466;1891;5
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;DNI;Partiet DNI;0,10661;7466;1891;2
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;ENSOM;Ensomhetspartiet;0,37313;7466;1891;7
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;FRED;Fred og Rettferdighet (FOR);0,42644;7466;1891;8
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;GENP;Generasjonspartiet;0,31983;7466;1891;6
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;HELSE;Velferd og Innovasjonspartiet;0,21322;7466;1891;4
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;INP;Industri- og Næringspartiet;0,42644;7466;1891;8
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;KRISTNE;Konservativt;0,15991;7466;1891;3
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;PP;Pensjonistpartiet;0,42644;7466;1891;8
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;PS;Partiet Sentrum;0,42644;7466;1891;8
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;RUS;Redd Ullevål sykehus;0,69296;7466;1891;13
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;Andre;Andre;3,83795;7466;1891;72
03;Oslo;0301;Oslo;0105;Etterstad videregående skole;Andre2;Andre2;0,0;7466;1891;0
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;A;Arbeiderpartiet;31,14925;10037;1938;599
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;SV;SV - Sosialistisk Venstreparti;9,20437;10037;1938;177
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;RØDT;Rødt;8,63235;10037;1938;166
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;SP;Senterpartiet;0,78003;10037;1938;15
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;KRF;Kristelig Folkeparti;1,30005;10037;1938;25
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;MDG;Miljøpartiet De Grønne;11,49246;10037;1938;221
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;V;Venstre;8,11232;10037;1938;156
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;H;Høyre;13,57254;10037;1938;261
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;FRP;Fremskrittspartiet;12,84451;10037;1938;247
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;DEMN;Norgesdemokratene;0,62402;10037;1938;12
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;DNI;Partiet DNI;0,104;10037;1938;2
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;ENSOM;Ensomhetspartiet;0,0;10037;1938;0
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;FRED;Fred og Rettferdighet (FOR);0,36401;10037;1938;7
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;GENP;Generasjonspartiet;0,46802;10037;1938;9
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;HELSE;Velferd og Innovasjonspartiet;0,052;10037;1938;1
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;INP;Industri- og Næringspartiet;0,41602;10037;1938;8
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;KRISTNE;Konservativt;0,104;10037;1938;2
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;PP;Pensjonistpartiet;0,36401;10037;1938;7
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;PS;Partiet Sentrum;0,20801;10037;1938;4
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;RUS;Redd Ullevål sykehus;0,20801;10037;1938;4
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;Andre;Andre;2,91212;10037;1938;56
03;Oslo;0301;Oslo;0106;Fyrstikkalléen skole;Andre2;Andre2;0,0;10037;1938;0
03;Oslo;0301;Oslo;1001;Rødtvet skole;A;Arbeiderpartiet;36,64865;2715;937;339
03;Oslo;0301;Oslo;1001;Rødtvet skole;SV;SV - Sosialistisk Venstreparti;13,51351;2715;937;125
03;Oslo;0301;Oslo;1001;Rødtvet skole;RØDT;Rødt;8,54054;2715;937;79
03;Oslo;0301;Oslo;1001;Rødtvet skole;SP;Senterpartiet;1,08108;2715;937;10
03;Oslo;0301;Oslo;1001;Rødtvet skole;KRF;Kristelig Folkeparti;2,59459;2715;937;24
03;Oslo;0301;Oslo;1001;Rødtvet skole;MDG;Miljøpartiet De Grønne;8,32432;2715;937;77
03;Oslo;0301;Oslo;1001;Rødtvet skole;V;Venstre;3,13514;2715;937;29
