Partikode,Side,År,estimate,std.error,p.value,r.squared,n,Variabel
KRF,Høyresida,2023,0.009834878462041133,0.005209412583285846,0.062090602624779355,0.036161075693971166,97,Innvandrerandel
KRF,Høyresida,2025,-0.0018251058558061437,0.004469022943794355,0.6839159353179407,0.0017711413234284743,96,Innvandrerandel
MDG,Venstresida,2015,-0.04979958808691149,0.02427119351830319,0.04342001320559154,0.04940595576987674,83,Innvandrerandel
MDG,Venstresida,2019,-0.15476726587496514,0.03716201705353423,6.96770128916485e-5,0.1571843510585169,95,Innvandrerandel
MDG,Venstresida,2023,-0.07422441306699436,0.025845845353116983,0.005032989796793035,0.07987913191018535,97,Innvandrerandel
MDG,Venstresida,2025,-0.12126761694839464,0.023040873781063412,8.905065730735343e-7,0.2276137431672308,96,Innvandrerandel
RØDT,Venstresida,2015,0.052815281129345214,0.021525905906636073,0.01629022636930613,0.06917947305692491,83,Innvandrerandel
RØDT,Venstresida,2019,0.09412773051698804,0.016508224406708807,1.391004246484722e-7,0.25903090967166054,95,Innvandrerandel
RØDT,Venstresida,2023,0.10761706210626328,0.013699055017699677,6.052786809131348e-12,0.39379871313964426,97,Innvandrerandel
RØDT,Venstresida,2025,0.14885088855553993,0.014888937221662759,1.8611691638069063e-16,0.5153347876697153,96,Innvandrerandel
SP,Venstresida,2015,0.009318335480548107,0.00222653174199568,7.187484522212114e-5,0.17779313295125396,83,Innvandrerandel
SP,Venstresida,2019,0.012966285124928598,0.0044105193394277055,0.004142136702405396,0.08503060914311973,95,Innvandrerandel
SP,Venstresida,2023,0.03151520197898684,0.002763509528754255,1.7226881071472847e-19,0.5778760215831792,97,Innvandrerandel
SP,Venstresida,2025,0.008985519198561671,0.0023127441200718295,1.9020198896626584e-4,0.138365113317095,96,Innvandrerandel
SV,Venstresida,2015,0.019572713801019548,0.021052394060740037,0.3552814889462791,0.010558547849101317,83,Innvandrerandel
SV,Venstresida,2019,0.02968603512016418,0.022058402878656992,0.18164114852733745,0.01910279060810614,95,Innvandrerandel
SV,Venstresida,2023,0.0896750364453556,0.02295497540418071,1.752618661611088e-4,0.1384097352806036,97,Innvandrerandel
SV,Venstresida,2025,0.38038478354443617,0.0229173581295479,1.0857339764018739e-29,0.7456002280858801,96,Innvandrerandel
V,Høyresida,2015,-0.13406198843874262,0.017715095681535814,5.30702512373796e-11,0.4141880230288261,83,Innvandrerandel
V,Høyresida,2019,-0.12531232063937278,0.012722374684099634,4.2535542487922654e-16,0.5105720291575861,95,Innvandrerandel
V,Høyresida,2023,-0.18535112449476865,0.017135759033217814,3.008984444897806e-18,0.5518855942294169,97,Innvandrerandel
V,Høyresida,2025,-0.17510099890036315,0.01527984243220366,1.5256591961813071e-19,0.5828203780764444,96,Innvandrerandel
A,Venstresida,2015,-0.8707427018530178,0.05501701123860319,1.6605651689057782e-26,0.7556467416323366,83,Utdanning
A,Venstresida,2019,-0.5249137218185427,0.030855557741060413,2.6459866224812985e-30,0.7568036227070596,95,Utdanning
A,Venstresida,2023,-0.40766287077149144,0.029663517567693365,2.6126061611679056e-24,0.6653367114039455,97,Utdanning
A,Venstresida,2025,-0.24261508108770286,0.03345566715550354,1.1463009766765827e-10,0.35875201920792754,96,Utdanning
FRP,Høyresida,2015,-0.11110661548190359,0.010909536671526561,3.6932388794317466e-16,0.5615011576858219,83,Utdanning
FRP,Høyresida,2019,-0.07181904484709878,0.011426576935277053,1.0468231432030628e-8,0.298137229585204,95,Utdanning
FRP,Høyresida,2023,-0.07356516872904725,0.01389410231593057,7.66913843073831e-7,0.22785507316068215,97,Utdanning
FRP,Høyresida,2025,-0.010148625060802214,0.02342296395747414,0.6658063775886176,0.001993133511543574,96,Utdanning
H,Høyresida,2015,0.6276755031807038,0.10684688864311816,9.009318965044297e-8,0.2987628027266129,83,Utdanning
H,Høyresida,2019,0.5476163859968723,0.08741108700315577,1.1479090375787421e-8,0.296776858376485,95,Utdanning
H,Høyresida,2023,0.4525540127388533,0.08411574116195382,5.339118195092458e-7,0.23353625016287655,97,Utdanning
H,Høyresida,2025,0.43053045677277013,0.059990461695224206,1.635613072519995e-10,0.3539709097199749,96,Utdanning
KRF,Høyresida,2015,0.005046683059209513,0.008109528755015215,0.5354825710412837,0.0047584368693853974,83,Utdanning
KRF,Høyresida,2019,-0.010036903233118786,0.005550186338485156,0.07377768189908332,0.03396973282758063,95,Utdanning
KRF,Høyresida,2023,-0.022029718688586563,0.006072494566047817,4.6239014442649775e-4,0.12167842477245996,97,Utdanning
KRF,Høyresida,2025,-0.007183558673232298,0.005554822279612365,0.19910716879019613,0.01748043764947573,96,Utdanning
MDG,Venstresida,2015,0.1404738632361683,0.022081555881448486,1.1162822695355646e-8,0.33316791966565545,83,Utdanning
MDG,Venstresida,2019,0.3165564707326358,0.03366344527621815,3.738646769198586e-15,0.4873973513171166,95,Utdanning
MDG,Venstresida,2023,0.1837855213434627,0.026962792681454184,8.541671270332069e-10,0.3284389924150665,97,Utdanning
MDG,Venstresida,2025,0.2041553035798827,0.025208492208168867,1.9814438036616295e-12,0.41098506844274957,96,Utdanning
RØDT,Venstresida,2015,0.008367276364089177,0.02421790249457314,0.730614459352871,0.0014715350316976707,83,Utdanning
RØDT,Venstresida,2019,-0.065868701285254,0.02120291665788605,0.002509770886230211,0.09401654884429962,95,Utdanning
RØDT,Venstresida,2023,-0.090743537889065,0.019363079357520876,9.27172707684467e-6,0.18777413644420435,97,Utdanning
RØDT,Venstresida,2025,-0.1382865481190606,0.022682691146911342,2.3787209941486442e-8,0.28336250665710444,96,Utdanning
SP,Venstresida,2015,-0.008253843874786141,0.002504644105024128,0.0014596411334159023,0.11822113341093912,83,Utdanning
SP,Venstresida,2019,-0.02211583755958829,0.004839936004205271,1.5001513958549848e-5,0.18334987858658067,95,Utdanning
SP,Venstresida,2023,-0.038268084001433555,0.0034002240199259848,3.5593344655540623e-19,0.5714263346296459,97,Utdanning
SP,Venstresida,2025,-0.014121640125300514,0.002760882815205204,1.6527390981280335e-6,0.21772407089350346,96,Utdanning
SV,Venstresida,2015,0.02820242228600468,0.022775188625947785,0.21918328102525772,0.018578867758863617,83,Utdanning
SV,Venstresida,2019,0.014203313869105942,0.025828103445817933,0.5836945729140831,0.003241167522544386,95,Utdanning
SV,Venstresida,2023,-0.05710347742727064,0.029624377038046292,0.05689399421191355,0.03763924959496239,97,Utdanning
SV,Venstresida,2025,-0.41384428941334006,0.03766354701262841,1.490807973254819e-18,0.5622501898296071,96,Utdanning
V,Høyresida,2015,0.2029469753943444,0.011118034358612503,1.94466808107446e-30,0.8044438016830898,83,Utdanning
V,Høyresida,2019,0.17861238460526233,0.01015635845864401,2.4906335694696e-31,0.7688157988919199,95,Utdanning
V,Høyresida,2023,0.2768218084547904,0.01305506115198895,8.514435513861837e-38,0.825565508572001,97,Utdanning
V,Høyresida,2025,0.24823540565895896,0.014930265914106504,9.634368383750763e-30,0.7462439903504161,96,Utdanning
