Partikode,Side,År,Variabel,estimate,std.error,statistic,p.value,r.squared,n
A,Venstresida,2015,Inntekt,-2.787059185271839e-5,4.387687956065437e-6,-6.351999534103317,1.2571682579111726e-8,0.8643916537126356,83
A,Venstresida,2015,Innvandrerandel,0.12807538124814516,0.06218760687252665,2.0595000787001907,0.04274036786182476,0.8643916537126356,83
A,Venstresida,2015,Utdanning,-0.5459298288769703,0.06455529026269889,-8.45677909053439,1.120030891167564e-12,0.8643916537126356,83
A,Venstresida,2019,Inntekt,-1.6473733179651932e-5,3.039524377222618e-6,-5.419839137695909,4.854016468138611e-7,0.842538140628569,95
A,Venstresida,2019,Innvandrerandel,0.06745449604776202,0.04118324167386812,1.6379112791056396,0.10489362405343049,0.842538140628569,95
A,Venstresida,2019,Utdanning,-0.336475930022804,0.04332917530443814,-7.7655742962719,1.1677813076575511e-11,0.842538140628569,95
A,Venstresida,2021,Inntekt,-8.941059983305017e-6,1.3353411396075128e-6,-6.695712217728121,1.4975857556161679e-9,0.8254869757318477,99
A,Venstresida,2021,Innvandrerandel,-0.029417632351229524,0.0359039858181608,-0.8193416881406416,0.41464228112579626,0.8254869757318477,99
A,Venstresida,2021,Utdanning,-0.38181613729789804,0.04112892727851032,-9.283396445338248,5.6227534264393685e-15,0.8254869757318477,99
A,Venstresida,2023,Inntekt,-1.249074913144213e-5,1.781959953751497e-6,-7.009556586917568,3.740585224509906e-10,0.7975986172603987,97
A,Venstresida,2023,Innvandrerandel,0.014704877105585809,0.03621907691555025,0.4059981191644461,0.6856766272827718,0.7975986172603987,97
A,Venstresida,2023,Utdanning,-0.2682094328536748,0.040884538703248194,-6.560167764161813,2.9966978041441702e-9,0.7975986172603987,97
A,Venstresida,2025,Inntekt,-1.600263841938661e-5,1.937147371169269e-6,-8.260929786527992,1.029461627645619e-12,0.6341501541385033,96
A,Venstresida,2025,Innvandrerandel,-0.17007516843636739,0.040235366412703547,-4.227006825086832,5.575498334101585e-5,0.6341501541385033,96
