Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;0101;Vahl skole;A;Arbeiderpartiet;25,41371;4977;1709;430
03;Oslo;0301;Oslo;0101;Vahl skole;SV;SV - Sosialistisk Venstreparti;14,1253;4977;1709;239
03;Oslo;0301;Oslo;0101;Vahl skole;RØDT;Rødt;10,16548;4977;1709;172
03;Oslo;0301;Oslo;0101;Vahl skole;SP;Senterpartiet;1,18203;4977;1709;20
03;Oslo;0301;Oslo;0101;Vahl skole;KRF;Kristelig Folkeparti;1,77305;4977;1709;30
03;Oslo;0301;Oslo;0101;Vahl skole;MDG;Miljøpartiet De Grønne;15,18913;4977;1709;257
03;Oslo;0301;Oslo;0101;Vahl skole;V;Venstre;8,86525;4977;1709;150
03;Oslo;0301;Oslo;0101;Vahl skole;H;Høyre;14,65721;4977;1709;248
03;Oslo;0301;Oslo;0101;Vahl skole;FRP;Fremskrittspartiet;2,24586;4977;1709;38
03;Oslo;0301;Oslo;0101;Vahl skole;AAN;Alliansen - Alternativ for Norge;0,1773;4977;1709;3
03;Oslo;0301;Oslo;0101;Vahl skole;DEMN;Norgesdemokratene;0,1773;4977;1709;3
03;Oslo;0301;Oslo;0101;Vahl skole;FNB;Folkets Parti;0,1773;4977;1709;3
03;Oslo;0301;Oslo;0101;Vahl skole;INP;Industri- og Næringspartiet;0,82742;4977;1709;14
03;Oslo;0301;Oslo;0101;Vahl skole;KRISTNE;Konservativt;0,29551;4977;1709;5
03;Oslo;0301;Oslo;0101;Vahl skole;KYST;Kystpartiet;0,23641;4977;1709;4
03;Oslo;0301;Oslo;0101;Vahl skole;LIBS;Liberalistene;0,59102;4977;1709;10
03;Oslo;0301;Oslo;0101;Vahl skole;NKP;Norges Kommunistiske Parti;0,35461;4977;1709;6
03;Oslo;0301;Oslo;0101;Vahl skole;PP;Pensjonistpartiet;0,1182;4977;1709;2
03;Oslo;0301;Oslo;0101;Vahl skole;PS;Partiet Sentrum;2,30496;4977;1709;39
03;Oslo;0301;Oslo;0101;Vahl skole;BLANKE;Blanke;1,00473;4977;1709;17
03;Oslo;0301;Oslo;0101;Vahl skole;FSL;Folkestyret-listen;0,35461;4977;1709;6
03;Oslo;0301;Oslo;0101;Vahl skole;PMB;Partiet Mot Bompenger;0,76832;4977;1709;13
03;Oslo;0301;Oslo;0101;Vahl skole;Andre;Andre;6,38298;4977;1709;108
03;Oslo;0301;Oslo;0101;Vahl skole;Andre2;Andre2;0,0;4977;1709;0
03;Oslo;0301;Oslo;0102;Tøyen skole;A;Arbeiderpartiet;18,86252;8063;2473;461
03;Oslo;0301;Oslo;0102;Tøyen skole;SV;SV - Sosialistisk Venstreparti;18,90344;8063;2473;462
03;Oslo;0301;Oslo;0102;Tøyen skole;RØDT;Rødt;10,47463;8063;2473;256
03;Oslo;0301;Oslo;0102;Tøyen skole;SP;Senterpartiet;1,02291;8063;2473;25
03;Oslo;0301;Oslo;0102;Tøyen skole;KRF;Kristelig Folkeparti;1,35025;8063;2473;33
